realtime_start,realtime_end,date,value,series_id,description
2025-04-26,2025-04-26,2024-04-01,122.14,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2024-05-01,122.239,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2024-06-01,122.51,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2024-07-01,122.722,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2024-08-01,122.926,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2024-09-01,123.234,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2024-10-01,123.595,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2024-11-01,123.716,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2024-12-01,123.98,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2025-01-01,124.35,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
2025-04-26,2025-04-26,2025-02-01,124.804,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE)
