realtime_start,realtime_end,date,value,series_id,description
2025-04-26,2025-04-26,2024-04-01,313.016,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2024-05-01,313.14,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2024-06-01,313.131,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2024-07-01,313.566,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2024-08-01,314.131,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2024-09-01,314.851,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2024-10-01,315.564,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2024-11-01,316.449,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2024-12-01,317.603,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2025-01-01,319.086,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2025-02-01,319.775,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
2025-04-26,2025-04-26,2025-03-01,319.615,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
