realtime_start,realtime_end,date,value,series_id,description,yoy_change,mom_change
2025-04-26,2025-04-26,2020-04-01,256.032,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,
2025-04-26,2025-04-26,2020-05-01,255.802,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,-0.08983252093487382
2025-04-26,2025-04-26,2020-06-01,257.042,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.4847499237691677
2025-04-26,2025-04-26,2020-07-01,258.352,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.5096443382793581
2025-04-26,2025-04-26,2020-08-01,259.316,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.3731343283582156
2025-04-26,2025-04-26,2020-09-01,259.997,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.2626139536318739
2025-04-26,2025-04-26,2020-10-01,260.319,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.1238475828567287
2025-04-26,2025-04-26,2020-11-01,260.911,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.2274132890799363
2025-04-26,2025-04-26,2020-12-01,262.045,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.4346309661148906
2025-04-26,2025-04-26,2021-01-01,262.639,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.226678623900467
2025-04-26,2025-04-26,2021-02-01,263.573,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.3556212139095738
2025-04-26,2025-04-26,2021-03-01,264.847,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,,0.4833575517978028
2025-04-26,2025-04-26,2021-04-01,266.625,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,4.137373453318349,0.6713309948762847
2025-04-26,2025-04-26,2021-05-01,268.404,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,4.9264665639830785,0.6672292545710334
2025-04-26,2025-04-26,2021-06-01,270.71,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,5.317418943207719,0.8591526206762845
2025-04-26,2025-04-26,2021-07-01,271.965,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,5.269167647240969,0.46359572974770114
2025-04-26,2025-04-26,2021-08-01,272.752,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,5.181323173271246,0.28937547110843287
2025-04-26,2025-04-26,2021-09-01,273.942,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,5.363523425270289,0.4362937760309826
2025-04-26,2025-04-26,2021-10-01,276.528,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,6.226591220771449,0.9439954442911347
2025-04-26,2025-04-26,2021-11-01,278.824,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,6.865559520296194,0.830295666261649
2025-04-26,2025-04-26,2021-12-01,280.806,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,7.159457345112474,0.7108426821220482
2025-04-26,2025-04-26,2022-01-01,282.542,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,7.578082463000535,0.6182204083958309
2025-04-26,2025-04-26,2022-02-01,284.525,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,7.949220898953979,0.7018425579205845
2025-04-26,2025-04-26,2022-03-01,287.467,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,8.540780148538584,1.0340040418240992
2025-04-26,2025-04-26,2022-04-01,288.582,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,8.235161744022502,0.3878706077567129
2025-04-26,2025-04-26,2022-05-01,291.299,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,8.530051713089225,0.9415001628653163
2025-04-26,2025-04-26,2022-06-01,295.072,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,8.999298141923106,1.2952327333770608
2025-04-26,2025-04-26,2022-07-01,294.94,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,8.447778206754553,-0.04473484437697017
2025-04-26,2025-04-26,2022-08-01,295.162,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,8.216255059541266,0.07526954634839989
2025-04-26,2025-04-26,2022-09-01,296.421,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,8.205751582451759,0.4265454225137466
2025-04-26,2025-04-26,2022-10-01,297.979,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,7.757261470809462,0.5256037865063456
2025-04-26,2025-04-26,2022-11-01,298.708,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,7.131380368978291,0.24464811278648302
2025-04-26,2025-04-26,2022-12-01,298.808,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,6.410831677385809,0.03347750980888797
2025-04-26,2025-04-26,2023-01-01,300.456,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,6.340296309929161,0.5515247249069821
2025-04-26,2025-04-26,2023-02-01,301.476,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,5.957648712766894,0.33948398434380245
2025-04-26,2025-04-26,2023-03-01,301.643,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,4.931348641757127,0.05539412755906081
2025-04-26,2025-04-26,2023-04-01,302.858,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,4.946947488062325,0.4027940313549472
2025-04-26,2025-04-26,2023-05-01,303.316,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,4.125314539356473,0.15122598709624846
2025-04-26,2025-04-26,2023-06-01,304.099,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.0592533347792994,0.2581466193672721
2025-04-26,2025-04-26,2023-07-01,304.615,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.28032820234625,0.16968158395787025
2025-04-26,2025-04-26,2023-08-01,306.138,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.7186358677607556,0.49997537875678955
2025-04-26,2025-04-26,2023-09-01,307.374,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.6950823322234427,0.4037394900339164
2025-04-26,2025-04-26,2023-10-01,307.653,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.2465375076767167,0.09076890042749586
2025-04-26,2025-04-26,2023-11-01,308.087,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.139855644977696,0.14106802143973862
2025-04-26,2025-04-26,2023-12-01,308.735,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.322200208829762,0.21033019893732519
2025-04-26,2025-04-26,2024-01-01,309.794,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.1079425939238847,0.34301261599751776
2025-04-26,2025-04-26,2024-02-01,311.022,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.16642120765831,0.3963924414288167
2025-04-26,2025-04-26,2024-03-01,312.107,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.4690014354717524,0.34884992058441533
2025-04-26,2025-04-26,2024-04-01,313.016,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.3540471111874304,0.2912462713108077
2025-04-26,2025-04-26,2024-05-01,313.14,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,3.238866396761142,0.03961458839163434
2025-04-26,2025-04-26,2024-06-01,313.131,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.9700853998204435,-0.0028741138149102063
2025-04-26,2025-04-26,2024-07-01,313.566,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.9384633061405374,0.1389194937581939
2025-04-26,2025-04-26,2024-08-01,314.131,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.6109140322338353,0.1801853517281904
2025-04-26,2025-04-26,2024-09-01,314.851,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.432541464144644,0.22920373984103293
2025-04-26,2025-04-26,2024-10-01,315.564,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.5714034967967203,0.2264563237849071
2025-04-26,2025-04-26,2024-11-01,316.449,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.7141684004842848,0.2804502414724075
2025-04-26,2025-04-26,2024-12-01,317.603,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.872366268806581,0.36467171645351293
2025-04-26,2025-04-26,2025-01-01,319.086,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.999412512831112,0.46693513600313263
2025-04-26,2025-04-26,2025-02-01,319.775,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.8142703731568686,0.2159292479143371
2025-04-26,2025-04-26,2025-03-01,319.615,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,2.4055852640280317,-0.05003518098661841
