realtime_start,realtime_end,date,value,series_id,description
2025-04-26,2025-04-26,2024-04-01,123.234,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2024-05-01,123.224,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2024-06-01,123.369,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2024-07-01,123.575,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2024-08-01,123.727,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2024-09-01,123.939,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2024-10-01,124.265,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2024-11-01,124.399,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2024-12-01,124.769,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2025-01-01,125.189,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
2025-04-26,2025-04-26,2025-02-01,125.6,PCEPI,Personal Consumption Expenditures: Chain-type Price Index
