realtime_start,realtime_end,date,value,series_id,description,yoy_change,mom_change
2025-04-26,2025-04-26,2020-04-01,103.817,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,
2025-04-26,2025-04-26,2020-05-01,103.914,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.09343363803617777
2025-04-26,2025-04-26,2020-06-01,104.233,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.306984621898887
2025-04-26,2025-04-26,2020-07-01,104.564,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.3175577792061901
2025-04-26,2025-04-26,2020-08-01,104.887,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.3089017252591697
2025-04-26,2025-04-26,2020-09-01,105.046,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.1515917129863542
2025-04-26,2025-04-26,2020-10-01,105.106,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.05711783409172444
2025-04-26,2025-04-26,2020-11-01,105.225,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.11321903602077299
2025-04-26,2025-04-26,2020-12-01,105.69,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.44191019244477214
2025-04-26,2025-04-26,2021-01-01,106.083,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.3718421799602689
2025-04-26,2025-04-26,2021-02-01,106.471,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.36575134564444944
2025-04-26,2025-04-26,2021-03-01,107.032,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,,0.526904039597631
2025-04-26,2025-04-26,2021-04-01,107.632,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,3.6747353516283665,0.5605800134539374
2025-04-26,2025-04-26,2021-05-01,108.184,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,4.109167195950492,0.5128586294038895
2025-04-26,2025-04-26,2021-06-01,108.748,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,4.331641610622361,0.5213340235155073
2025-04-26,2025-04-26,2021-07-01,109.275,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,4.505374698749098,0.48460661345495204
2025-04-26,2025-04-26,2021-08-01,109.72,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,4.607816030585288,0.40722946694120576
2025-04-26,2025-04-26,2021-09-01,110.047,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,4.760771471545788,0.29803135253372304
2025-04-26,2025-04-26,2021-10-01,110.741,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,5.361254352748657,0.6306396357919741
2025-04-26,2025-04-26,2021-11-01,111.51,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,5.972915181753402,0.6944130900027989
2025-04-26,2025-04-26,2021-12-01,112.221,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,6.179392563156405,0.6376109765940274
2025-04-26,2025-04-26,2022-01-01,112.776,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,6.30921071236672,0.4945598417408492
2025-04-26,2025-04-26,2022-02-01,113.489,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,6.591466220848874,0.6322267149038829
2025-04-26,2025-04-26,2022-03-01,114.489,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,6.96707526720981,0.8811426658090316
2025-04-26,2025-04-26,2022-04-01,114.845,PCEPI,Personal Consumption Expenditures: Chain-type Price Index,6.7015385758882,0.31094690319593
