Traded Issuer,Published,Traded,Filed After,Type,Size
NGL Energy Partners LPNGL:US,14:05Yesterday,28 Jan2025,days9,sell,50K–100K
NGL Energy Partners LPNGL:US,14:05Yesterday,30 Jan2025,days7,sell,500K–1M
NGL Energy Partners LPNGL:US,14:05Yesterday,3 Feb2025,days3,sell,250K–500K
OUNZ VAN ECK GOLD TRUST ETFN/A,14:05Yesterday,30 Jan2025,days7,buy,500K–1M
OUNZ VAN ECK GOLD TRUST ETFN/A,14:05Yesterday,3 Feb2025,days3,buy,250K–500K
NGL Energy Partners LPNGL:US,14 Jan2025,2 Jan2025,days11,sell,15K–50K
NGL Energy Partners LPNGL:US,18 Dec2024,3 Dec2024,days14,sell,15K–50K
NGL Energy Partners LPNGL:US,30 Oct2024,16 Oct2024,days13,sell,50K–100K
NGL Energy Partners LPNGL:US,30 Oct2024,24 Oct2024,days5,sell,50K–100K
NGL Energy Partners LPNGL:US,7 Oct2024,17 Sept2024,days17,sell,1K–15K
NGL Energy Partners LPNGL:US,7 Oct2024,30 Sept2024,days4,sell,100K–250K
NGL Energy Partners LPNGL:US,12 Sept2024,28 Aug2024,days14,sell,50K–100K
NGL Energy Partners LPNGL:US,12 Aug2024,24 Jul2024,days18,sell,15K–50K
NGL Energy Partners LPNGL:US,12 Aug2024,5 Aug2024,days6,sell,50K–100K
NGL Energy Partners LPNGL:US,10 Jul2024,1 Jul2024,days8,sell,50K–100K
NGL Energy Partners LPNGL:US,12 Jun2024,3 Jun2024,days9,sell,100K–250K
NGL Energy Partners LPNGL:US,15 May2024,7 May2024,days7,sell,250K–500K
NGL Energy Partners LPNGL:US,15 May2024,10 May2024,days4,sell,15K–50K
NGL Energy Partners LPNGL:US,7 May2024,25 Apr2024,days12,sell,100K–250K
NGL Energy Partners LPNGL:US,8 Apr2024,1 Apr2024,days6,sell,100K–250K
NGL Energy Partners LPNGL:US,14 Mar2024,11 Mar2024,days2,sell,15K–50K
NGL Energy Partners LPNGL:US,1 Mar2024,26 Feb2024,days3,sell,50K–100K
NGL Energy Partners LPNGL:US,2 Feb2024,29 Jan2024,days3,sell,100K–250K
Energy Transfer LPET:US,17 Jan2024,6 Dec2023,days42,sell,1K–15K
NGL Energy Partners LPNGL:US,17 Jan2024,11 Jan2024,days6,sell,100K–250K
BMC CAPITAL LPN/A,15 Aug2023,14 Aug2023,days0,buy,15K–50K
CARBON RIVERSN/A,15 Aug2023,6 Aug2023,days8,buy,250K–500K
Energy Transfer LPET:US,9 Aug2023,4 Aug2023,days4,sell,250K–500K
NGL Energy Partners LPNGL:US,9 Aug2023,4 Aug2023,days4,buy,250K–500K
SPDR S&P 500 ETF TrustSPY:US,9 Aug2023,4 Aug2023,days4,sell,15K–50K
SPDR S&P 500 ETF TrustSPY:US,9 Aug2023,11 Jul2023,days28,buy,15K–50K
Energy Transfer LPET:US,25 Jul2023,18 Jul2023,days6,sell,100K–250K
Energy Transfer LPET:US,19 Jul2023,14 Jul2023,days4,sell,100K–250K
Energy Transfer LPET:US,30 Jun2023,26 Jun2023,days4,sell,1K–15K
Energy Transfer LPET:US,30 Jun2023,27 Jun2023,days3,sell,250K–500K
Energy Transfer LPET:US,30 Jun2023,27 Jun2023,days3,sell,250K–500K
Energy Transfer LPET:US,13 Jun2023,8 Jun2023,days4,sell,100K–250K
NGL Energy Partners LPNGL:US,13 Jun2023,8 Jun2023,days4,buy,100K–250K
Energy Transfer LPET:US,6 Jun2023,2 Jun2023,days3,sell,100K–250K
NGL Energy Partners LPNGL:US,6 Jun2023,2 Jun2023,days3,buy,100K–250K
Energy Transfer LPET:US,5 Jun2023,30 May2023,days3,sell,50K–100K
Energy Transfer LPET:US,29 May2023,17 May2023,days9,sell,50K–100K
Energy Transfer LPET:US,29 May2023,17 May2023,days9,sell,50K–100K
NGL Energy Partners LPNGL:US,29 May2023,17 May2023,days9,buy,50K–100K
Energy Transfer LPET:US,17 Apr2023,10 Apr2023,days6,sell,50K–100K
Energy Transfer LPET:US,3 Apr2023,24 Mar2023,days8,sell,100K–250K
NGL Energy Partners LPNGL:US,3 Apr2023,24 Mar2023,days8,buy,100K–250K
Energy Transfer LPET:US,28 Feb2023,16 Feb2023,days11,sell,50K–100K
Energy Transfer LPET:US,6 Feb2023,26 Jan2023,days10,sell,15K–50K
Energy Transfer LPET:US,31 Jan2023,23 Jan2023,days7,sell,15K–50K
Energy Transfer LPET:US,10 Jan2023,29 Dec2022,days11,sell,15K–50K
NGL Energy Partners LPNGL:US,10 Jan2023,3 Jan2023,days6,sell,1K–15K
Energy Transfer LPET:US,25 Oct2022,14 Oct2022,days10,sell,100K–250K
Energy Transfer LPET:US,4 Oct2022,28 Sept2022,days5,sell,15K–50K
Energy Transfer LPET:US,2 Sept2022,29 Aug2022,days3,sell,15K–50K
NGL Energy Partners LPNGL:US,2 Sept2022,29 Aug2022,days3,sell,1K–15K
Energy Transfer LPET:US,19 Aug2022,15 Aug2022,days3,sell,50K–100K
Energy Transfer LPET:US,2 Aug2022,21 Jun2022,days41,sell,15K–50K
Energy Transfer LPET:US,2 Aug2022,12 Jul2022,days20,sell,15K–50K
Energy Transfer LPET:US,2 Aug2022,18 Jul2022,days14,sell,1K–15K
Energy Transfer LPET:US,2 Aug2022,25 Jul2022,days7,sell,50K–100K
NGL Energy Partners LPNGL:US,2 Aug2022,2 Jun2022,days60,buy,100K–250K
Energy Transfer LPET:US,1 Jun2022,26 May2022,days5,sell,15K–50K
Energy Transfer LPET:US,21 Apr2022,19 Apr2022,days1,sell,250K–500K
USA Compression Partners LPUSAC:US,21 Apr2022,18 Apr2022,days2,sell,500K–1M
USA Compression Partners LPUSAC:US,21 Apr2022,14 Apr2022,days6,sell,100K–250K
Energy Transfer LPET:US,14 Apr2022,6 Apr2022,days7,buy,250K–500K
Equitrans Midstream CorpETRN:US,14 Apr2022,6 Apr2022,days7,sell,250K–500K
Energy Transfer LPET:US,9 Mar2022,3 Mar2022,days5,buy,100K–250K
Energy Transfer LPET:US,9 Mar2022,2 Mar2022,days6,buy,250K–500K
Enlink Midstream LLCENLC:US,9 Mar2022,2 Mar2022,days6,sell,500K–1M
Equitrans Midstream CorpETRN:US,9 Mar2022,3 Mar2022,days5,buy,250K–500K
Enlink Midstream LLCENLC:US,4 Mar2022,14 Feb2022,days17,buy,15K–50K
Enlink Midstream LLCENLC:US,4 Mar2022,18 Feb2022,days13,buy,1K–15K
Enlink Midstream LLCENLC:US,4 Mar2022,18 Feb2022,days13,buy,1K–15K
Antero Midstream CorpAM:US,15 Feb2022,9 Feb2022,days5,sell,1M–5M
Energy Transfer LPET:US,15 Feb2022,9 Feb2022,days5,buy,500K–1M
Enlink Midstream LLCENLC:US,15 Feb2022,9 Feb2022,days5,buy,500K–1M
