Traded Issuer,Published,Traded,Filed After,Type,Size
Baxter International IncBAX:US,21 Nov2024,18 Nov2024,days2,buy,1K–15K
New Gold IncNGD:US,21 Nov2024,18 Nov2024,days2,sell,1K–15K
Patterson-UTI Energy IncPTEN:US,21 Nov2024,23 Oct2024,days28,buy,1K–15K
ViaSat IncVSAT:US,21 Nov2024,23 Oct2024,days28,buy,1K–15K
Hecla Mining CoHL:US,6 Sept2024,9 Aug2024,days27,buy,1K–15K
First Trust MLP and Energy Income FundFEI:US,2 Jul2024,18 Dec2023,days196,sell,1K–15K
PERION NETWORK LTDN/A,11 Jun2024,16 May2024,days25,buy,1K–15K
MAG SILVER CORPMAG:US,1 Feb2024,8 Jan2024,days23,buy,1K–15K
MAG SILVER CORPMAG:US,1 Feb2024,5 Jan2024,days26,sell,1K–15K
ADAMS RESOURCES & ENERGY INCAE:US,12 Jul2023,27 Oct2022,days257,sell,1K–15K
ALAMOS GOLD INCAGI:US,21 Feb2023,24 Jan2023,days27,sell,1K–15K
ALAMOS GOLD INCAGI:US,21 Feb2023,24 Jan2023,days27,sell,1K–15K
ADAMS RESOURCES & ENERGY INCAE:US,11 Nov2022,27 Oct2022,days14,sell,1K–15K
Lions Gate Entertainment CorpLGF/A:US,3 Oct2022,14 Sept2022,days16,buy,1K–15K
Lions Gate Entertainment CorpLGF/A:US,3 Oct2022,14 Sept2022,days16,buy,1K–15K
Hill International IncHIL:US,25 Aug2022,17 Aug2022,days7,sell,1K–15K
Hill International IncHIL:US,25 Aug2022,17 Aug2022,days7,sell,1K–15K
Hill International IncHIL:US,25 Aug2022,17 Aug2022,days7,sell,1K–15K
The Select Sector SPDR Trust - The Energy Select Sector SPDR FundXLE:US,25 Aug2022,19 Aug2022,days5,sell,1K–15K
The Select Sector SPDR Trust - The Energy Select Sector SPDR FundXLE:US,25 Aug2022,19 Aug2022,days5,sell,1K–15K
The Select Sector SPDR Trust - The Energy Select Sector SPDR FundXLE:US,25 Aug2022,19 Aug2022,days5,sell,1K–15K
ALAMOS GOLD INCAGI:US,4 Jul2022,6 Jun2022,days25,buy,1K–15K
ALAMOS GOLD INCAGI:US,4 Jul2022,6 Jun2022,days25,buy,1K–15K
Patterson-UTI Energy IncPTEN:US,2 Jun2022,20 May2022,days12,sell,1K–15K
Patterson-UTI Energy IncPTEN:US,2 Jun2022,20 May2022,days12,sell,1K–15K
Patterson-UTI Energy IncPTEN:US,2 Jun2022,20 May2022,days12,sell,1K–15K
