Traded Issuer,Published,Traded,Filed After,Type,Size
Alphabet IncGOOGL:US,20 Jan2025,14 Jan2025,days3,buy,250K–500K
Amazon.com IncAMZN:US,20 Jan2025,14 Jan2025,days3,buy,250K–500K
Apple IncAAPL:US,20 Jan2025,31 Dec2024,days17,sell,5M–25M
NVIDIA CorporationNVDA:US,20 Jan2025,31 Dec2024,days17,sell,1M–5M
NVIDIA CorporationNVDA:US,20 Jan2025,20 Dec2024,days28,buy,500K–1M
NVIDIA CorporationNVDA:US,20 Jan2025,14 Jan2025,days3,buy,250K–500K
Palo Alto Networks IncPANW:US,20 Jan2025,20 Dec2024,days28,buy,1M–5M
TEMPUS AI INCTEM:US,20 Jan2025,14 Jan2025,days3,buy,50K–100K
Vistra CorpVST:US,20 Jan2025,14 Jan2025,days3,buy,500K–1M
REOF XXVI LLCN/A,12 Sept2024,13 Aug2024,days29,buy,250K–500K
Microsoft CorpMSFT:US,31 Jul2024,26 Jul2024,days4,sell,1M–5M
NVIDIA CorporationNVDA:US,31 Jul2024,26 Jul2024,days4,buy,1M–5M
Broadcom IncAVGO:US,3 Jul2024,24 Jun2024,days8,buy,1M–5M
NVIDIA CorporationNVDA:US,3 Jul2024,26 Jun2024,days6,buy,1M–5M
Tesla IncTSLA:US,3 Jul2024,24 Jun2024,days8,sell,250K–500K
Visa IncV:US,3 Jul2024,1 Jul2024,days1,sell,500K–1M
FORGE INVESTMENTS LLCN/A,22 Mar2024,4 Mar2024,days17,buy,1M–5M
Palo Alto Networks IncPANW:US,26 Feb2024,12 Feb2024,days11,buy,500K–1M
Palo Alto Networks IncPANW:US,26 Feb2024,21 Feb2024,days2,buy,100K–250K
NVIDIA CorporationNVDA:US,22 Dec2023,22 Nov2023,days29,buy,1M–5M
Apple IncAAPL:US,23 Jun2023,15 Jun2023,days7,buy,250K–500K
Microsoft CorpMSFT:US,23 Jun2023,15 Jun2023,days7,buy,500K–1M
Apple IncAAPL:US,7 Jun2023,8 May2023,days29,exchange,500K–1M
Apple IncAAPL:US,7 Apr2023,17 Mar2023,days20,buy,500K–1M
REOF XXV LLCN/A,7 Apr2023,9 Mar2023,days28,buy,500K–1M
Roblox CorpRBLX:US,26 Jan2023,20 Jan2023,days5,sell,< 1K
AllianceBernstein Holding LPAB:US,13 Jan2023,28 Dec2022,days15,sell,500K–1M
Alphabet IncGOOGL:US,13 Jan2023,28 Dec2022,days15,sell,500K–1M
Alphabet IncGOOGL:US,13 Jan2023,20 Dec2022,days23,sell,500K–1M
Alphabet IncGOOGL:US,13 Jan2023,21 Dec2022,days22,sell,500K–1M
Netflix IncNFLX:US,13 Jan2023,29 Dec2022,days14,sell,250K–500K
Netflix IncNFLX:US,13 Jan2023,30 Dec2022,days13,sell,250K–500K
PayPal Holdings IncPYPL:US,13 Jan2023,21 Dec2022,days22,sell,250K–500K
PayPal Holdings IncPYPL:US,13 Jan2023,28 Dec2022,days15,sell,250K–500K
REOF XX LLCN/A,13 Jan2023,27 Dec2022,days16,buy,15K–50K
Roblox CorpRBLX:US,13 Jan2023,28 Dec2022,days15,sell,100K–250K
salesforce.com IncCRM:US,13 Jan2023,20 Dec2022,days23,sell,< 1K
Tesla IncTSLA:US,13 Jan2023,20 Dec2022,days23,sell,500K–1M
The Walt Disney CoDIS:US,13 Jan2023,21 Dec2022,days22,sell,500K–1M
Visa IncV:US,1 Dec2022,8 Nov2022,days22,sell,1M–5M
Alphabet IncGOOGL:US,17 Oct2022,16 Sept2022,days28,buy,1M–5M
Micron Technology IncMU:US,17 Oct2022,16 Sept2022,days28,sell,15K–50K
NVIDIA CorporationNVDA:US,17 Oct2022,16 Sept2022,days28,sell,100K–250K
The Walt Disney CoDIS:US,17 Oct2022,16 Sept2022,days28,sell,< 1K
REOF XX LLCN/A,9 Sept2022,24 Aug2022,days16,buy,15K–50K
NVIDIA CorporationNVDA:US,27 Jul2022,26 Jul2022,days0,sell,1M–5M
Apple IncAAPL:US,14 Jul2022,17 Jun2022,days27,sell,100K–250K
NVIDIA CorporationNVDA:US,14 Jul2022,17 Jun2022,days27,buy,1M–5M
Visa IncV:US,14 Jul2022,21 Jun2022,days23,sell,1M–5M
Apple IncAAPL:US,6 Jun2022,13 May2022,days21,buy,500K–1M
Apple IncAAPL:US,6 Jun2022,24 May2022,days10,buy,250K–500K
Microsoft CorpMSFT:US,6 Jun2022,24 May2022,days10,buy,50K–100K
Microsoft CorpMSFT:US,6 Jun2022,24 May2022,days10,buy,250K–500K
Warner Bros Discover IncWBD:US,4 May2022,11 Apr2022,days22,receive,50K–100K
AT&T IncT:US,4 May2022,11 Apr2022,days22,exchange,50K–100K
Tesla IncTSLA:US,22 Mar2022,17 Mar2022,days4,buy,1M–5M
