id,title,cluster,bins
1h5ng2l,ai dash cams give wake-up calls to drowsy drivers | innovative tech detects driver fatigue and signals them to take a break,4,100
1h5qkfp,electronic ‘tattoos’ offer an alternative to electrodes for brain monitoring | a spray-on ink detects electrical activity in the brain for hours,0,100
1h66avu,licking this “lollipop” will let you taste virtual flavors,3,100
1h6fl9r,"a new catalyst can turn methane into something useful. mit chemical engineers have devised a way to capture methane, a potent greenhouse gas, and convert it into polymers.",1,100
1h6gurk,refurbished heart pacemakers work like new,3,100
1h6y0td,"robot cat that sticks landing may revolutionise asteroid mining, scientists say",1,100
1h78m56,prenatal test accidentally picks up cancer in 50% of those with wonky results | the prenatal test results flagged cancers when other screens and tests missed it.,2,100
1h78or2,billions of people to benefit from technology breakthrough that ensures freshwater for the world,0,100
1h792n3,"carpet fibres stop concrete cracking. engineers in australia have found a way to make stronger and crack-resistant concrete with scrap carpet fibres, rolling out the red carpet for sustainability in the construction sector.",4,100
1h7qdkm,'breakthrough' dementia drug looks to stop disease in its tracks,3,100
1h8130c,two european satellites launch on mission to blot out the sun—for science,4,100
1h815us,burned rice hulls could help batteries store more charge,4,100
1h8350t,"scientists develop battery with 5,000+ year lifespan by encasing radioactive carbon in diamond | it could power electronics aboard space probes for centuries, among other things",2,100
1h8fwm0,virtual lab powered by ‘ai scientists’ super-charges biomedical research,1,100
1h8s83b,researchers claim record-breaking 25.7% efficency for perovskite-organic tandem solar cell,2,100
1h8tarx,"drones with legs can walk, hop, and jump into the air",4,100
1h98sb7,"the art of failure analysis. searching for defects in their chips, these engineers found something inspiring.",0,100
1h9jtac,"""world's simplest"" nuclear reactors could be installed underground to provide heat to cities",3,100
1h9jyfw,temporary scalp e-tattoos that scan brain could replace traditional eegs forever,3,100
1h9p8h3,"scientists discover new way to make fuel from water and sunlight, but more work is needed",1,100
1ha8fsu,"brain stimulation helps people ​walk after spinal injury | researchers created a ""brain atlas"" to find the right spot for electrodes",4,100
1ha9xig,crop parasites can be deterred by “electric fences” a pesticide-free technique holds promise by scrambling protists’ senses,2,100
1hb24op,sionic energy unveils 100-percent silicon anode battery,2,100
1hbirv1,ferroelectric devices could make iot data unhackable. fefet array enables homomorphic encryption in battery-powered devices.,0,100
1hbnqfg,"nvidia, rigetti, quantum machines deliver ai-powered quantum computing",2,100
1hbtd03,ai is driving india’s next agricultural revolution,2,100
1hbuf8o,google gets an error-corrected quantum bit to be stable for an hour,3,100
1hbug93,transforming fusion from a scientific curiosity into a powerful clean energy source,1,100
1hcj85x,"fish-inspired sensor ""touches"" using electric fields | a synthetic e-skin uses capacitance to detect nearby objects",2,100
1hcl9co,graphene interconnects to moore's law's rescue,3,100
1hclrpw,"scientists have accidentally discovered a particle that has mass when it’s traveling in one direction, but no mass while traveling in a different direction | known as semi-dirac fermions, particles with this bizarre behavior were first predicted 16 years ago.",2,100
1hdai04,new tongue-stimulating implant offers hope to millions with sleep apnoea in uk first | nyxoah’s genio device zaps the nerves in the tongue to help sufferers breathe better overnight,0,100
1hdco1q,award-winning tech uses cyborg mollusks to monitor water pollution,3,100
1hdnl19,"nvidia, amd, and intel invest in ayar labs to enable futuristic light-based chips",3,100
1he2dzd,new invention harvests static energy from waste polystyrene to produce electricity,1,100
1he3w1t,"noninvasive imaging method can penetrate deeper into living tissue. using high-powered lasers, this new method could help biologists study the body’s immune responses and develop new medicines.",1,100
1he6r00,new retrofit lets micro-turbines burn both hydrogen and natural gas,1,100
